Mode,MNLC,MASC,Station,Coverage,Source,Entries_Monday,Entries_midweek,Entries_Friday,Entries_Saturday,Entries_Sunday,Exits_Monday,Exits_midweek,Exits_Friday,Exits_Saturday,Exits_Sunday,En/Ex_weekly,En/Ex_12week,En/Ex_annual
LU,584,GGRu,Golders Green,Station entry/exit,Gateline,"8,783","10,033","9,476","7,454","5,620","8,785","10,006","9,584","7,308","5,805","122,931","1,475,173","5,785,182"
LU,585,GHRu,Goldhawk Road,Station entry/exit,Gateline,"2,493","2,918","2,934","2,410","1,445","2,475","2,857","2,725","2,228","1,612","35,646","427,755","1,677,524"
LU,586,GSTu,Goodge Street,Station entry/exit,Gateline,"7,692","9,607","7,799","5,214","3,039","8,451","10,411","8,655","5,451","3,123","109,478","1,313,738","5,152,082"
LU,587,GRHu,Grange Hill,Station entry/exit,Gateline,666,749,668,401,215,604,649,550,319,201,"7,819","93,825","367,952"
LU,588,GPSu,Great Portland Street,Station entry/exit,Gateline,"8,261","10,249","8,005","4,845","3,298","8,219","10,233","7,970","4,572","3,034","109,650","1,315,796","5,160,153"
LU,590,GPKu,Green Park,Station entry/exit,Gateline,"37,231","46,156","41,519","36,304","24,342","43,170","52,792","50,336","44,152","29,907","603,801","7,245,613","28,415,099"
LU,589,GFDu,Greenford,Station entry/exit,Gateline,"5,240","5,822","5,477","4,344","2,660","5,319","5,772","5,299","4,157","2,683","69,962","839,539","3,292,419"
LU,591,GUNu,Gunnersbury,Station entry/exit,Gateline,"6,072","7,933","5,347","4,439","2,777","5,848","7,462","5,056","3,966","2,610","82,299","987,593","3,873,039"
LU,592,HAIu,Hainault,Station entry/exit,Gateline,"4,626","5,024","4,842","3,349","2,208","4,523","4,876","4,665","3,387","2,111","59,412","712,939","2,795,930"
LU,593,HMDu,Hammersmith (DIS),Station entry/exit,Gateline,"29,880","34,937","32,382","28,308","18,607","29,453","34,658","32,107","28,256","18,381","426,158","5,113,891","20,055,131"
LU,773,HMSu,Hammersmith (H&C),Station entry/exit,Gateline,"12,210","14,585","13,208","10,985","6,897","11,957","14,195","12,575","10,319","6,406","170,895","2,050,744","8,042,398"
LU,594,HMPu,Hampstead,Station entry/exit,Gateline,"4,794","5,470","5,274","5,300","4,154","5,490","6,189","5,943","6,001","4,706","76,638","919,653","3,606,601"
LU,595,HLNu,Hanger Lane,Station entry/exit,Gateline,"3,837","4,550","4,133","3,985","2,360","3,798","4,411","4,002","3,613","2,312","54,923","659,079","2,584,708"
LU,596,HARu,Harlesden,Station entry/exit,Gateline,"3,889","4,285","4,067","2,573","1,661","3,897","4,178","3,924","2,472","1,676","49,545","594,545","2,331,624"
LU,597,HAWu,Harrow & Wealdstone,Station entry/exit,Gateline,"5,480","5,840","5,725","4,015","2,610","5,202","5,533","5,344","3,630","2,494","68,616","823,393","3,229,099"
LU,598,HOHu,Harrow-on-the-Hill,Station entry/exit,Gateline,"12,366","13,543","13,048","11,146","7,481","13,241","14,548","13,752","11,361","7,919","174,589","2,095,069","8,216,227"
LU,779,HTXu,Hatton Cross,Station entry/exit,Gateline,"3,948","4,239","4,293","3,818","3,150","4,032","4,173","4,260","3,888","3,205","55,828","669,936","2,627,285"
LU,781,HRFu,Heathrow Terminal 4 LU,Station entry/exit,Gateline,"2,055","1,831","2,220","2,292","2,150","1,720","1,553","1,922","2,037","1,646","26,195","314,345","1,232,766"
LU,783,HRVu,Heathrow Terminal 5 LU,Station entry/exit,Gateline,"6,452","5,804","6,694","5,759","6,743","4,933","4,625","5,230","4,679","5,445","77,222","926,661","3,634,083"
LU,780,HRCu,Heathrow Terminals 123 LU,Station entry/exit,Gateline,"9,551","8,723","11,035","9,937","10,124","8,497","6,689","8,949","8,301","9,207","121,839","1,462,069","5,733,793"
LU,601,HNDu,Hendon Central,Station entry/exit,Gateline,"7,971","8,978","8,541","6,229","4,551","7,544","8,428","7,983","5,718","4,245","105,000","1,259,999","4,941,336"
LU,602,HBTu,High Barnet,Station entry/exit,Gateline,"4,953","5,720","5,253","4,122","2,531","4,899","5,608","5,051","4,042","2,582","67,419","809,023","3,172,741"
LU,605,HSTu,High Street Kensington,Station entry/exit,Gateline,"12,602","14,351","13,900","13,320","9,443","12,233","14,154","13,278","12,526","8,546","181,364","2,176,364","8,535,039"
LU,603,HBYu,Highbury & Islington,Station entry/exit,Gateline,"18,755","22,238","22,489","21,230","12,738","19,703","23,349","23,471","23,291","13,858","292,295","3,507,539","13,755,507"
LU,604,HIGu,Highgate,Station entry/exit,Gateline,"6,172","7,296","6,891","5,935","3,921","6,315","7,413","6,671","5,933","4,189","90,156","1,081,868","4,242,758"
LU,606,HDNu,Hillingdon,Station entry/exit,Gateline,"2,132","2,401","2,314","1,871","1,076","2,000","2,246","2,074","1,700","1,101","28,206","338,473","1,327,387"
LU,607,HOLu,Holborn,Station entry/exit,Gateline,"29,881","37,790","32,449","24,275","16,187","32,333","40,131","35,418","26,615","16,674","447,596","5,371,153","21,064,035"
LU,608,HPKu,Holland Park,Station entry/exit,Gateline,"4,186","4,550","4,417","3,793","2,331","4,091","4,446","4,356","3,873","2,354","56,388","676,652","2,653,625"
LU,609,HRDu,Holloway Road,Station entry/exit,Gateline,"8,409","9,168","8,817","6,843","4,571","8,397","9,016","8,484","6,483","4,674","111,230","1,334,766","5,234,546"
